Date,Title,URL,Commodity,Entry_Type,Announcement_Type,Hedging_Percentage,Speculative_Percentage,Effective_Date,Adjustment_Type,Operation_Type,Operation_Description,Affected_Parties,Source_Sentence,Parsing_Method,Confidence,Scraped_At,Interest_Score,Interest_Details,Detected_Commodities,Batch_Number
2025-06-24,关于同意深圳市中金岭南有色金属股份有限公司“南华”牌铅锭注册的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250624_828152.html,lead,operational_data,other,,,2025-06-24,increased,brand_registration,"Agree to register the ""Nanhua"" brand lead ingots produced by Shenzhen Zhongjin Lingnan Nonferrous Metals Co., Ltd.","Shenzhen Zhongjin Lingnan Nonferrous Metals Co., Ltd.","Agree to register the ""Nanhua"" brand lead ingots produced by Shenzhen Zhongjin Lingnan Nonferrous Metals Co., Ltd. in our institute, with a registered production capacity of 116,000 tons and the imple",Gemini_Enhanced,high,2025-06-26T08:02:50.167386,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,1
2025-06-24,关于同意侯马北铜铜业有限公司“中条山”牌A级铜注册以及注销山西北方铜业有限公司侯马冶炼厂“中条山”牌A级铜注册资质 的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250624_828151.html,copper,operational_data,warehouse_operations,,,2025-06-24,increased,warehouse_capacity,"Agree to register the ""Zhongtiaoshan"" brand A- grade copper produced by Houma Beitong Copper Co., Ltd. with a registered production capacity of 200,000 tons and the implementation of the standard pric","Houma Beitong Copper Co., Ltd.; Shanxi Northern Copper Co., Ltd.","Agree to register the ""Zhongtiaoshan"" brand A- grade copper produced by Houma Beitong Copper Co., Ltd. in our institute, with a registered production capacity of 200,000 tons and the implementation of",Gemini_Enhanced,high,2025-06-26T08:02:59.504569,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,1
2025-06-20,关于暂停纸浆期货“Bratsk”牌交割品入库的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250620_828125.html,pulp,operational_data,delivery_operations,,,2025-06-20,suspended,delivery_suspension,"Suspension of storage of ""Bratsk"" brand pulp futures delivery products.",,"From the date of this announcement, the delivery products of the bleached kraft softwood pulp futures brand "" Bratsk "" will be suspended from storage, and bleached kraft softwood pulp mill warehouses ",Gemini_Enhanced,high,2025-06-26T08:03:06.716600,19,operational_announcement_title; general_commodities:2; trading_operations:2; recent_year:2025,,1
2025-06-18,关于同意河南豫光金铅股份有限公司等3家注册企业变更产品标识的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828100.html,lead,operational_data,quality_standards,,,2025-06-18,adjusted_to,quality_change,"Agree to change the product identification of ""YUGUANG"" brand lead ingots produced by Henan Yuguang Gold and Lead Co., Ltd.","Henan Yuguang Gold and Lead Co., Ltd.","Agree to change the product identification of "" YUGUANG "" brand lead ingots produced by Henan Yuguang Gold and Lead Co., Ltd.",Gemini_Enhanced,high,2025-06-26T08:03:17.674535,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,1
2025-06-18,关于同意河南豫光金铅股份有限公司等3家注册企业变更产品标识的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828100.html,copper,operational_data,quality_standards,,,2025-06-18,adjusted_to,quality_change,"Agree to change the product identification of ""Honglu"" brand cathode copper produced by Baiyin Nonferrous Group Co., Ltd.","Baiyin Nonferrous Group Co., Ltd.","Agree to change the product identification of ""Honglu"" brand cathode copper produced by Baiyin Nonferrous Group Co., Ltd.",Gemini_Enhanced,high,2025-06-26T08:03:17.674561,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,1
2025-06-18,关于同意河南豫光金铅股份有限公司等3家注册企业变更产品标识的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828100.html,lead,operational_data,quality_standards,,,2025-06-18,adjusted_to,quality_change,"Agree to change the product identification of ""YUNSHA"" brand lead ingots produced by Yunnan Zhenxing Industrial Group Co., Ltd.","Yunnan Zhenxing Industrial Group Co., Ltd.","Agree to change the product identification of "" YUNSHA "" brand lead ingots produced by Yunnan Zhenxing Industrial Group Co. , Ltd.",Gemini_Enhanced,high,2025-06-26T08:03:17.674571,2.0,excluded_administrative; general_commodities:1; recent_year:2025,,1
2025-06-18,关于进一步扩大合格境外投资者参与商品期货、期权交易范围的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828096.html,natural_rubber,operational_data,other,,,2025-06-20,increased,contract_modification,Qualified Foreign Investors are now allowed to trade natural rubber futures and options contracts.,,"newly open the following commodity futures and options contracts:
&nbsp; 1. Natural rubber, lead and tin futures contracts.",Gemini_Enhanced,high,2025-06-26T08:03:35.609225,3,general_commodities:1; recent_year:2025,,1
2025-06-18,关于进一步扩大合格境外投资者参与商品期货、期权交易范围的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828096.html,lead,operational_data,other,,,2025-06-20,increased,contract_modification,Qualified Foreign Investors are now allowed to trade lead futures and options contracts.,,"newly open the following commodity futures and options contracts:
&nbsp; 1. Natural rubber, lead and tin futures contracts.",Gemini_Enhanced,high,2025-06-26T08:03:35.609268,3,general_commodities:1; recent_year:2025,,1
2025-06-18,关于进一步扩大合格境外投资者参与商品期货、期权交易范围的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250618_828096.html,tin,operational_data,other,,,2025-06-20,increased,contract_modification,Qualified Foreign Investors are now allowed to trade tin futures and options contracts.,,"newly open the following commodity futures and options contracts:
&nbsp; 1. Natural rubber, lead and tin futures contracts.",Gemini_Enhanced,high,2025-06-26T08:03:35.609282,3,general_commodities:1; recent_year:2025,,1
2025-06-17,关于同意安徽长江钢铁股份有限公司变更螺纹钢产品标牌及表面标志的公告,https://www.shfe.com.cn/publicnotice/notice/202506/t20250617_828091.html,rebar,operational_data,quality_standards,,,2025-06-17,adjusted_to,quality_change,"Anhui Changjiang Iron and Steel Co., Ltd. changed the product nameplate and surface mark of ""Rongheng"" brand rebar. Products with new labels can generate standard warehouse receipts from the announcem","Anhui Changjiang Iron and Steel Co., Ltd.","Agree to Anhui Changjiang Iron and Steel Co., Ltd. to change the product nameplate and surface mark of "" Rongheng "" brand rebar",Gemini_Enhanced,high,2025-06-26T08:03:44.060855,5,general_commodities:2; recent_year:2025,,1
