Date,Title,URL,Commodity,Hedging_Percentage,Speculative_Percentage,Effective_Date,Adjustment_Type,Source_Sentence,Parsing_Method,Confidence,Scraped_At,Interest_Score,Interest_Details,Detected_Commodities
2025-04-10,Notice on Adjusting the Margin Ratio and Price Limits of Butadiene Rubber Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250410_825018.html,Butadiene Rubber,10,11,2025-04-11,adjusted_to,"The price limit of butadiene rubber futures contracts was adjusted to 9% , the margin ratio for hedging transactions was adjusted to 10% , and the margin ratio for speculative transactions was adjuste",Gemini_Enhanced,high,2025-06-26T06:07:16.203738,43,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:7; butadiene_rubber_in_margin_notice; commodities_in_margin_notice:3; recent_year:2025,butadiene_rubber; butadiene rubber
2025-04-10,Shanghai International Energy Exchange issued a notice on adjusting the margin ratio and price limit of No. 20 rubber futures trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250410_825017.html,Natural Rubber,0.09,0.1,2025-04-11,adjusted_to,"The price limit of No. 20 rubber futures contract was adjusted to 8% , the margin ratio for hedging transactions was adjusted to 9% , and the margin ratio for speculative transactions was adjusted to ",Gemini_Enhanced,high,2025-06-26T06:07:23.469456,15,strong_margin_pattern_context; basic_margin_keywords:6; commodities_in_margin_notice:3; recent_year:2025,
2025-04-09,Notice on Adjusting the Margin Ratio and Price Limits of Fuel Oil and Other Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825003.html,Fuel Oil,10,11,2025-04-10,adjusted_to,"The price limits for fuel oil and petroleum asphalt futures contracts were adjusted to 9% , the margin ratio for hedging transactions was adjusted to 10% , and the margin ratio for speculative transac",Gemini_Enhanced,high,2025-06-26T06:07:34.163266,40,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:7; commodities_in_margin_notice:3; recent_year:2025,
2025-04-09,Notice on Adjusting the Margin Ratio and Price Limits of Fuel Oil and Other Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825003.html,Petroleum Asphalt,10,11,2025-04-10,adjusted_to,"The price limits for fuel oil and petroleum asphalt futures contracts were adjusted to 9% , the margin ratio for hedging transactions was adjusted to 10% , and the margin ratio for speculative transac",Gemini_Enhanced,high,2025-06-26T06:07:34.164019,40,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:7; commodities_in_margin_notice:3; recent_year:2025,
2025-04-09,Notice on Adjusting the Margin Ratio and Price Limits of Fuel Oil and Other Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825003.html,Natural Rubber,9,10,2025-04-10,adjusted_to,"The price limit range of natural rubber futures contracts was adjusted to 8% , the margin ratio for hedging transactions was adjusted to 9% , and the margin ratio for speculative transactions was adju",Gemini_Enhanced,high,2025-06-26T06:07:34.164518,40,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:7; commodities_in_margin_notice:3; recent_year:2025,
2025-04-09,Notice on Adjusting the Margin Ratio and Price Limits of Fuel Oil and Other Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825003.html,Gold,12,13,2025-04-10,adjusted_to,"The price limit range of gold and silver futures contracts was adjusted to 11% , the margin ratio for hedging transactions was adjusted to 12% , and the margin ratio for speculative transactions was a",Gemini_Enhanced,high,2025-06-26T06:07:34.164657,40,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:7; commodities_in_margin_notice:3; recent_year:2025,
2025-04-09,Notice on Adjusting the Margin Ratio and Price Limits of Fuel Oil and Other Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825003.html,Silver,12,13,2025-04-10,adjusted_to,"The price limit range of gold and silver futures contracts was adjusted to 11% , the margin ratio for hedging transactions was adjusted to 12% , and the margin ratio for speculative transactions was a",Gemini_Enhanced,high,2025-06-26T06:07:34.164744,40,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:7; commodities_in_margin_notice:3; recent_year:2025,
2025-04-09,Shanghai International Energy Exchange issued a notice on adjusting the margin ratio and price limit range of crude oil and other futures transactions,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825002.html,Crude Oil,10,11,2025-04-10,adjusted_to,"The price limits for crude oil and low-sulfur fuel oil futures contracts were adjusted to 9% , the margin ratio for hedging transactions was adjusted to 10% , and the margin ratio for speculative tran",Gemini_Enhanced,high,2025-06-26T06:07:42.529981,18,strong_margin_pattern_context; basic_margin_keywords:5; petroleum_in_margin_notice; commodities_in_margin_notice:2; recent_year:2025,petroleum
2025-04-09,Shanghai International Energy Exchange issued a notice on adjusting the margin ratio and price limit range of crude oil and other futures transactions,https://www.shfe.com.cn/publicnotice/notice/202504/t20250409_825002.html,Low-sulfur Fuel Oil,10,11,2025-04-10,adjusted_to,"The price limits for crude oil and low-sulfur fuel oil futures contracts were adjusted to 9% , the margin ratio for hedging transactions was adjusted to 10% , and the margin ratio for speculative tran",Gemini_Enhanced,high,2025-06-26T06:07:42.530946,18,strong_margin_pattern_context; basic_margin_keywords:5; petroleum_in_margin_notice; commodities_in_margin_notice:2; recent_year:2025,petroleum
2025-03-07,Notice on Adjusting the Margin Ratio and Price Limits of Alumina Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202503/t20250307_824723.html,Alumina,0.09,0.1,2025-03-11,adjusted_to,"The price limit range of alumina futures contracts was adjusted to 8% , the margin ratio for hedging transactions was adjusted to 9% , and the margin ratio for speculative transactions was adjusted to",Gemini_Enhanced,high,2025-06-26T06:08:02.169827,39,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:7; commodities_in_margin_notice:2; recent_year:2025,
2024-10-28,Notice on Adjusting the Margin Ratio and Price Limits of Alumina Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202410/t20241028_815276.html,Alumina,11,12,2024-10-29,adjusted_to,"The price limit range of alumina futures contracts was adjusted to 10% , the margin ratio for hedging transactions was adjusted to 11% , and the margin ratio for speculative transactions was adjusted ",Gemini_Enhanced,high,2025-06-26T06:08:37.958412,39,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:7; commodities_in_margin_notice:2; recent_year:2024,
2024-10-22,Notice on Adjusting the Margin Ratio and Price Limits of Alumina Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202410/t20241022_815240.html,Alumina,10,11,2024-10-23,adjusted_to,"The price limit range of alumina futures contracts was adjusted to 9% , the margin ratio for hedging transactions was adjusted to 10% , and the margin ratio for speculative transactions was adjusted t",Gemini_Enhanced,high,2025-06-26T06:08:44.877281,39,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:7; commodities_in_margin_notice:2; recent_year:2024,
2024-10-16,Notice on Adjusting the Margin Ratio and Price Limits of Alumina Futures Trading,https://www.shfe.com.cn/publicnotice/notice/202410/t20241016_815213.html,Alumina,0.09,0.1,2024-10-17,adjusted_to,"The price limit range of alumina futures contracts was adjusted to 8% , the margin ratio for hedging transactions was adjusted to 9% , and the margin ratio for speculative transactions was adjusted to",Gemini_Enhanced,high,2025-06-26T06:08:52.967078,39,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:7; commodities_in_margin_notice:2; recent_year:2024,
2024-07-29,Notice on Adjusting the Margin Ratio and Price Limits of Some Rebar Futures Contracts,https://www.shfe.com.cn/publicnotice/notice/202407/t20240729_802055.html,Rebar,15,15,2024-07-31,adjusted_to,"The price limit of rebar RB2408 contract is adjusted to 7% , the margin ratio for hedging transactions is 15% , and the margin ratio for speculative transactions is 15% .",Gemini_Enhanced,high,2025-06-26T06:09:18.324785,40,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:6; commodities_in_margin_notice:3; recent_year:2024,
2024-07-29,Notice on Adjusting the Margin Ratio and Price Limits of Some Rebar Futures Contracts,https://www.shfe.com.cn/publicnotice/notice/202407/t20240729_802055.html,Rebar,10,10,2024-07-31,adjusted_to,"The price limit of rebar RB2409 contract is adjusted to 7% , the margin ratio for hedging transactions is 10% , and the margin ratio for speculative transactions is 10% .",Gemini_Enhanced,high,2025-06-26T06:09:18.325684,40,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:6; commodities_in_margin_notice:3; recent_year:2024,
2024-07-29,Notice on Adjusting the Margin Ratio and Price Limits of Some Rebar Futures Contracts,https://www.shfe.com.cn/publicnotice/notice/202407/t20240729_802055.html,Rebar,7,8,2024-07-31,adjusted_to,"The price limit range of rebar RB2410 contract was adjusted to 6% , the margin ratio for hedging transactions was adjusted to 7% , and the margin ratio for speculative transactions was adjusted to 8% ",Gemini_Enhanced,high,2025-06-26T06:09:18.326311,40,runbook_primary_pattern; strong_margin_pattern_context; basic_margin_keywords:6; commodities_in_margin_notice:3; recent_year:2024,
