Date,Title,URL,Commodity,Hedging_Percentage,Speculative_Percentage,Effective_Date,Adjustment_Type,Source_Sentence,Parsing_Method,Confidence,Scraped_At
2025-05-27,Notice on the work arrangements during the Dragon Boat Festival in 2025,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827892.html,Alumina,10,11,2025-05-29,adjusted_to,"The price limit of alumina futures contracts is adjusted to 9%, the margin ratio for hedging transactions is adjusted to 10%, and the margin ratio for speculative transactions is adjusted to 11%",Claude_Enhanced,high,2025-07-01T19:15:11.584765
2025-05-27,Notice on the work arrangements during the Dragon Boat Festival in 2025,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827892.html,Silver,13,14,2025-05-29,adjusted_to,"The price limit of silver futures contracts is adjusted to 12%, the margin ratio for hedging transactions is adjusted to 13%, and the margin ratio for speculative transactions is adjusted to 14%",Claude_Enhanced,high,2025-07-01T19:15:11.585445
2025-05-27,Notice on the work arrangements during the Dragon Boat Festival in 2025,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827892.html,Gold,14,15,2025-05-29,adjusted_to,"The price limit range of gold futures contracts was adjusted to 13%, the margin ratio for hedging transactions was adjusted to 14%, and the margin ratio for speculative transactions was adjusted to 15",Claude_Enhanced,high,2025-07-01T19:15:11.585955
2025-05-27,Notice on the work arrangements during the Dragon Boat Festival in 2025,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827892.html,Gold,0,0,2025-06-03,restored_to_original,The price limits and trading margin ratios of gold futures contracts will be restored to their original levels,Claude_Enhanced,high,2025-07-01T19:15:11.586105
2025-05-27,Notice on the work arrangements during the Dragon Boat Festival in 2025,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827892.html,Alumina,10,11,2025-06-03,remains_at,"The price limit of alumina futures contracts remains at 9%, the margin ratio for hedging transactions remains at 10%, and the margin ratio for speculative transactions remains at 11%",Claude_Enhanced,high,2025-07-01T19:15:11.586230
2025-05-27,Notice on the work arrangements during the Dragon Boat Festival in 2025,https://www.shfe.com.cn/publicnotice/notice/202505/t20250527_827892.html,Silver,13,14,2025-06-03,remains_at,"The price limit range of silver futures contracts remains at 12%, the hedging margin ratio remains at 13%, and the speculative margin ratio remains at 14%",Claude_Enhanced,high,2025-07-01T19:15:11.586425
2025-05-26,Notice on the listing and trading of cast aluminum alloy futures,https://www.shfe.com.cn/publicnotice/notice/202505/t20250526_827862.html,Cast Aluminum Alloy,8,9,2025-06-10,adjusted_to,The trading margin is 9% of the contract value (the hedging margin is 8% of the contract value),Claude_Enhanced,high,2025-07-01T19:17:38.228375
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Rebar,9,10,2025-04-29,adjusted_to,"The price limits for rebar, hot-rolled coil and stainless steel futures contracts are adjusted to 8%, the margin ratio for hedging transactions is adjusted to 9%, and the margin ratio for speculative ",Claude_Enhanced,high,2025-07-01T19:23:23.630192
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Hot-rolled Coil,9,10,2025-04-29,adjusted_to,"The price limits for rebar, hot-rolled coil and stainless steel futures contracts are adjusted to 8%, the margin ratio for hedging transactions is adjusted to 9%, and the margin ratio for speculative ",Claude_Enhanced,high,2025-07-01T19:23:23.630658
2025-04-25,Notice on Work Arrangements during Labor Day 2025,https://www.shfe.com.cn/publicnotice/notice/202504/t20250425_827640.html,Stainless Steel,9,10,2025-04-29,adjusted_to,"The price limits for rebar, hot-rolled coil and stainless steel futures contracts are adjusted to 8%, the margin ratio for hedging transactions is adjusted to 9%, and the margin ratio for speculative ",Claude_Enhanced,high,2025-07-01T19:23:23.631087
